rooms,size,price
2,69.0,62000.0
1,32.0,22300.0
3,68.0,59000.0
2,42.0,31000.0
2,50.0,36000.0
3,94.0,118000.0
3,70.0,37000.0
2,48.0,40000.0
6,134.0,78000.0
1,45.0,29500.0
3,100.0,128000.0
1,17.0,17500.0
3,120.0,95000.0
5,100.0,48000.0
2,60.0,71000.0
4,110.0,63000.0
3,82.0,33000.0
2,60.0,37500.0
3,75.0,55000.0
3,82.0,40000.0
